# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
      65.690      103.000      340.766   402483.500
      65.798       85.000      340.766   402483.500
      65.908      102.900      340.766   402483.500
      66.018      111.800      340.766   402483.500
      66.128       89.100      340.766   402483.500
      66.235       92.800      340.766   402483.500
      66.338      116.000      340.766   402483.500
      66.447       97.100      318.266   402449.828
      66.552       84.900      318.266   402449.828
      66.662       83.400      318.266   402449.828
      66.773       89.100      318.266   402449.828
      66.881      105.000      318.266   402449.828
      66.991       93.500      318.266   402449.828
      67.091      126.200      318.266   402449.828
      67.192       85.100      318.266   402449.828
      67.301      126.700      360.125   402502.500
      67.409       53.600      360.125   402502.500
      67.515       49.800      360.125   402502.500
      67.624       53.700      360.141   402502.500
      67.731       98.700      360.141   402502.500
      67.838       92.600      360.141   402502.500
      67.947       88.900      360.141   402502.500
      68.056       92.600      360.141   402502.500
      68.163      102.400      360.141   402502.500
      68.271      104.500      360.141   402502.500
      68.381      106.100      360.141   402502.500
      68.492       96.300      360.141   402502.500
      68.593      110.000      360.141   402502.500
      68.694       69.700      318.281   402449.828
      68.805       85.500      318.281   402449.828
      68.906       95.600      318.281   402449.828
      69.011       89.400      318.281   402449.828
      69.116       94.900      318.281   402449.828
      69.222       85.400      318.281   402449.828
      69.323      107.600      318.281   402449.828
      69.426       87.700      318.281   402449.828
      69.528      103.400      318.281   402449.828
      69.638       84.100      318.281   402449.828
      69.742       77.300      318.281   402449.828
      69.849       93.100      318.281   402449.828
      69.951      111.100      318.281   402449.828
      70.053       94.400      318.281   402449.828
      70.163       94.200      318.281   402449.828
      70.264      112.400      318.281   402449.828
      70.373      114.200      318.281   402449.828
      70.476      117.800      318.281   402449.828
      70.584       95.100      318.281   402449.828
      70.693       99.500      318.281   402449.828
      70.800       80.800      318.281   402449.828
      70.910      131.500      318.281   402449.828
      71.014      114.500      327.406   402471.500
      71.124       80.500      329.188   402472.500
      71.230      116.900      329.188   402472.500
      71.339       88.100      329.188   402472.500
      71.444      102.400      329.188   402472.500
      71.551       95.700      329.188   402472.500
      71.656      100.900      329.188   402472.500
      71.764      115.900      329.188   402472.500
      71.872      126.700      329.188   402472.500
      71.981      118.100      329.188   402472.500
      72.085      109.200      318.281   402449.828
      72.186       99.000      318.281   402449.828
      72.296       87.100      318.281   402449.828
      72.398      107.200      318.281   402449.828
      72.508      104.700      318.281   402449.828
      72.618       83.000      318.281   402449.828
      72.725       93.500      318.281   402449.828
      72.831       99.500      318.281   402449.828
      72.932       87.900      318.281   402449.828
      73.037       73.200      318.281   402449.828
      73.145      114.100      318.281   402449.828
      73.254      101.400      318.281   402449.828
      73.360      103.400      318.281   402449.828
      73.470      109.100      318.281   402449.828
      73.579       95.500      318.281   402449.828
      73.688       95.700      318.281   402449.828
      73.795      105.800      318.281   402449.828
      73.906      113.200      318.281   402449.828
      74.006       79.600      318.281   402449.828
      74.114       77.800      318.281   402449.828
      74.214      117.400      329.422   402472.500
      74.318       73.200      329.422   402472.500
      74.421      117.200      329.422   402472.500
      74.529      110.700      329.422   402472.500
      74.637       99.700      329.422   402472.500
      74.748       97.700      329.422   402472.500
      74.849      103.300      329.422   402472.500
      74.950       83.000      329.422   402472.500
      75.059       87.600      329.422   402472.500
      75.162       96.600      329.422   402472.500
      75.262       82.300      318.297   402449.828
      75.372       82.200      318.297   402449.828
      75.480       96.400      318.297   402449.828
      75.585       92.300      318.297   402449.828
      75.689      114.300      318.297   402449.828
      75.790       85.600      318.297   402449.828
      75.895      115.700      318.297   402449.828
      76.002       87.000      318.297   402449.828
      76.112      111.800      318.297   402449.828
      76.221       92.300      318.297   402449.828
      76.329       99.700      318.297   402449.828
      76.435      107.100      318.297   402449.828
      76.542      100.600      318.297   402449.828
      76.645      116.900      318.297   402449.828
      76.747       81.800      318.297   402449.828
      76.853      103.700      318.297   402449.828
      76.963       96.500      318.297   402449.828
      77.074      104.100      318.297   402449.828
      77.179       85.200      318.297   402449.828
      77.289      122.900      318.297   402449.828
      77.397      104.000      318.297   402449.828
      77.498      107.900      318.297   402449.828
      77.603       83.000      318.297   402449.828
      77.708      115.800      318.297   402449.828
      77.812       90.900      318.297   402449.828
      77.918       89.700      318.297   402449.828
      78.020       98.200      318.297   402449.828
      78.131       93.000      318.297   402449.828
      78.235      110.800      318.297   402449.828
      78.345       99.800      318.297   402449.828
      78.448       94.100      318.297   402449.828
      78.558       95.700      318.297   402449.828
      78.662       78.600      318.297   402449.828
      78.771       89.000      318.297   402449.828
      78.874      105.800      318.297   402449.828
      78.980       83.100      318.297   402449.828
      79.087       96.100      318.297   402449.828
      79.197       89.000      318.297   402449.828
      79.299       86.600      318.297   402449.828
      79.404       72.000      318.297   402449.828
      79.510       91.400      318.297   402449.828
      79.621       97.600      318.297   402449.828
      79.730      111.500      318.297   402449.828
      79.837       89.400      318.297   402449.828
      79.945      100.500      318.297   402449.828
      80.048       79.700      318.297   402449.828
      80.154       90.400      318.297   402449.828
      80.255       74.500      318.297   402449.828
      80.365      103.800      318.297   402449.828
      80.471       93.000      318.297   402449.828
      80.573      115.000      318.297   402449.828
      80.683       87.500      318.297   402449.828
      80.791       75.000      318.297   402449.828
